date,lat_min,lon_min,lon_max,lat_max,prev_fire_point,today_point_count,prev_frp_mean,today_frp_mean,prev_firemask,today_firemask
2019-04-04,35.16216,129.05405,129.22297297297297,35.29729729729733,0,6,0.0,2.4233333333333333,firemask_output\white.png,firemask_output\grid_2019-04-04_lon129.05405_lat35.16216.png
2019-04-04,35.2973,126.68919,126.85810810810813,35.43243243243246,0,1,0.0,3.67,firemask_output\white.png,firemask_output\grid_2019-04-04_lon126.68919_lat35.29730.png
2019-04-04,36.24324,126.68919,126.85810810810813,36.37837837837842,0,1,0.0,0.32,firemask_output\white.png,firemask_output\grid_2019-04-04_lon126.68919_lat36.24324.png
2019-04-04,36.64865,126.85811,127.02702702702705,36.78378378378383,0,4,0.0,4.805000000000001,firemask_output\white.png,firemask_output\grid_2019-04-04_lon126.85811_lat36.64865.png
2019-04-04,36.64865,127.02703,127.19594594594597,36.78378378378383,0,4,0.0,8.05,firemask_output\white.png,firemask_output\grid_2019-04-04_lon127.02703_lat36.64865.png
2019-04-04,36.91892,126.68919,126.85810810810813,37.054054054054106,0,8,0.0,2.47375,firemask_output\white.png,firemask_output\grid_2019-04-04_lon126.68919_lat36.91892.png
2019-04-04,36.91892,128.20946,128.3783783783784,37.054054054054106,0,2,0.0,1.885,firemask_output\white.png,firemask_output\grid_2019-04-04_lon128.20946_lat36.91892.png
2019-04-04,37.18919,128.20946,128.3783783783784,37.32432432432438,0,2,0.0,1.2200000000000002,firemask_output\white.png,firemask_output\grid_2019-04-04_lon128.20946_lat37.18919.png
2019-04-04,37.32432,129.05405,129.22297297297297,37.45945945945952,0,2,0.0,1.545,firemask_output\white.png,firemask_output\grid_2019-04-04_lon129.05405_lat37.32432.png
2019-04-04,37.45946,126.52027,126.6891891891892,37.59459459459465,0,2,0.0,1.49,firemask_output\white.png,firemask_output\grid_2019-04-04_lon126.52027_lat37.45946.png
2019-04-04,37.45946,128.88514,129.05405405405406,37.59459459459465,0,51,0.0,5.657254901960784,firemask_output\white.png,firemask_output\grid_2019-04-04_lon128.88514_lat37.45946.png
2019-04-04,37.45946,129.05405,129.22297297297297,37.59459459459465,0,13,0.0,6.35076923076923,firemask_output\white.png,firemask_output\grid_2019-04-04_lon129.05405_lat37.45946.png
2019-04-04,37.59459,128.88514,129.05405405405406,37.72972972972979,0,18,0.0,4.743333333333332,firemask_output\white.png,firemask_output\grid_2019-04-04_lon128.88514_lat37.59459.png
2019-04-04,37.59459,129.05405,129.22297297297297,37.72972972972979,0,12,0.0,7.661666666666665,firemask_output\white.png,firemask_output\grid_2019-04-04_lon129.05405_lat37.59459.png
2019-04-04,37.86486,126.85811,127.02702702702705,38.000000000000064,0,8,0.0,11.6425,firemask_output\white.png,firemask_output\grid_2019-04-04_lon126.85811_lat37.86486.png
2019-04-05,34.75676,127.53378,127.70270270270272,34.89189189189192,0,1,0.0,0.55,firemask_output\white.png,firemask_output\grid_2019-04-05_lon127.53378_lat34.75676.png
2019-04-05,35.02703,128.71622,128.88513513513513,35.16216216216219,0,2,0.0,1.435,firemask_output\white.png,firemask_output\grid_2019-04-05_lon128.71622_lat35.02703.png
2019-04-05,35.02703,128.88514,129.05405405405406,35.16216216216219,0,1,0.0,1.17,firemask_output\white.png,firemask_output\grid_2019-04-05_lon128.88514_lat35.02703.png
2019-04-05,35.16216,129.05405,129.22297297297297,35.29729729729733,6,0,2.4233333333333333,0.0,firemask_output\grid_2019-04-04_lon129.05405_lat35.16216.png,firemask_output\white.png
2019-04-05,35.2973,126.68919,126.85810810810813,35.43243243243246,1,0,3.67,0.0,firemask_output\grid_2019-04-04_lon126.68919_lat35.29730.png,firemask_output\white.png
2019-04-05,35.43243,129.22297,129.39189189189187,35.5675675675676,0,2,0.0,1.18,firemask_output\white.png,firemask_output\grid_2019-04-05_lon129.22297_lat35.43243.png
2019-04-05,35.7027,126.85811,127.02702702702705,35.837837837837874,0,1,0.0,0.62,firemask_output\white.png,firemask_output\grid_2019-04-05_lon126.85811_lat35.70270.png
2019-04-05,35.97297,129.22297,129.39189189189187,36.10810810810815,0,9,0.0,1.0,firemask_output\white.png,firemask_output\grid_2019-04-05_lon129.22297_lat35.97297.png
2019-04-05,35.97297,129.39189,129.5608108108108,36.10810810810815,0,6,0.0,1.1483333333333332,firemask_output\white.png,firemask_output\grid_2019-04-05_lon129.39189_lat35.97297.png
